smax,actFrac,Log10N,Log10ug,Sigma_g,Kappa,Log10V,T,P,ac,smaxes_arg,actFrac_arg,smaxes_mbn,actFrac_mbn,logTSmax,Smax_Twomey,actFrac_Twomey,delta_smax,delta_actFrac
0.006383649027308051,0.9216493366919487,1.4,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.0058549364570186675,0.90893743760404,0.007466668528020382,0.9462511785282708,-2.7047359493843044,0.006228416912749983,1,1.5523211455806783e-4,-0.0783506633080513
0.0019298473682612723,0.5314421044027363,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,75750,0.95,0.0015778626066293817,0.4392241846313484,0.0017079702409356834,0.47465951089921643,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.0042985695444887105,0.26915250742394303
0.008171443296045557,0.9546381946337442,1.13,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.007369846532382584,0.9446698874600806,0.00994375076442957,0.97347327808128,-2.7047359493843044,0.006228416912749983,1,0.0019430263832955737,-0.04536180536625578
0.006948868608011654,0.03521451998369135,3,-1.3010299956639813,1.8,1.148153621496884e-4,-0.3010299956639812,283,85000,0.95,0.006038586994543695,3.061346126989254e-4,0.019490515351891516,0.015098414781445902,-2.7047359493843044,0.006228416912749983,0.2622895969787933,7.204516952616707e-4,-0.22707507699510193
7.628831870465197e-4,0.6816207094926409,3,-0.9300000000000002,1.8,0.54,-0.3010299956639812,283,85000,0.95,6.784292375817697e-4,0.6342812657992151,6.647558019869028e-4,0.6256551556940354,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.005465533725703463,0.4193311125138476
7.108262367676539e-4,0.681620709492641,3,-0.91,1.8,0.54,-0.3010299956639812,283,85000,0.95,6.395395200204525e-4,0.6385583303084466,6.214011115767061e-4,0.6263647471588476,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.005517590675982329,0.4193311125138477
0.004208801354378223,0.8274775560272606,3,-1.3010299956639813,1.8,0.54,0.3500000000000001,283,85000,0.95,0.0034640146283844674,0.770030836792622,0.004039525154978036,0.8193209600738052,-2.4072574490478935,0.015895398587788545,0.3815386728463998,-0.011686597233410322,0.4459388831808608
0.0019114203094517965,0.5314421044027362,3.06,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.0015716092766737111,0.4374488785564181,0.0017045924855023623,0.47376565375056956,-2.7047359493843044,0.006228416912749983,0.22844468899278333,-0.004316996603298187,0.30299741540995284
0.003824410652634383,0.8066386547842384,3,-1.3010299956639813,1.8,0.54,0.27,283,85000,0.95,0.003152796664810441,0.7363643467403111,0.003616934724003076,0.7844910920302679,-2.443812262474948,0.014166788903376354,0.36436660384877,-0.010342378250741972,0.44227205093546834
0.0018305836248240829,0.5314421044027363,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,289.5,85000,0.95,0.0015141761667243853,0.4451637782948031,0.001616778294071555,0.4745015097694162,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.0043978332879259004,0.26915250742394303
0.007346779159212577,0.0322667698891085,3,-1.3010299956639813,1.8,1.4125375446227555e-5,-0.3010299956639812,283,85000,0.95,0.007855719425737179,7.943477212147543e-6,0.055306970474719996,0.010501917545749091,-2.7047359493843044,0.006228416912749983,0.2622895969787933,0.0011183622464625937,-0.23002282708968477
0.003203503569211631,0.26463622269699044,3,-1.3010299956639813,1.8,0.05495408738576248,-0.3010299956639812,283,85000,0.95,0.00263663318629977,0.19311758462492057,0.002800363465473056,0.21161994122026406,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.003024913343538352,0.0023466257181971595
0.007301048027676178,0.0322667698891085,3,-1.3010299956639813,1.8,2.0417379446695318e-5,-0.3010299956639812,283,85000,0.95,0.007501256529958609,1.5950207706848193e-5,0.0450698832666874,0.01084753905787741,-2.7047359493843044,0.006228416912749983,0.2622895969787933,0.0010726311149261954,-0.23002282708968477
0.002824462484640961,0.695523902021142,2.51,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.002407183570878321,0.6278382613423287,0.0026256618421524767,0.6642806563992117,-2.7047359493843044,0.006228416912749983,0.8105523435393958,-0.003403954428109022,-0.11502844151825375
0.005842101438381162,0.04928725266907821,3,-2.06,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.004007151857798932,0.01927170940647895,0.0061481429955363275,0.05512288045911913,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-3.8631547436882106e-4,-0.21300234430971507
0.0014244273778257078,0.3916155745904053,3,-1.3010299956639813,1.8,0.54,-0.6199999999999999,283,85000,0.95,0.0011453254251323926,0.3028176996951557,0.0012836175513640047,0.3491873010554626,-2.8504845618509282,0.003935694887323444,0.21829237436442944,-0.002511267509497736,0.17332320022597586
